date,geography,geography code,Rural Urban,Religion: All categories: Religion; measures: Value,Religion: Has religion; measures: Value,Religion: Christian; measures: Value,Religion: Buddhist; measures: Value,Religion: Hindu; measures: Value,Religion: Jewish; measures: Value,Religion: Muslim; measures: Value,Religion: Sikh; measures: Value,Religion: Other religion; measures: Value,Religion: No religion; measures: Value,Religion: Religion not stated; measures: Value
2011,Cannock Chase,E07000192,Total,97462,70.25,69.15,0.17,0.13,0.01,0.22,0.28,0.29,23.67,6.08
2011,East Staffordshire,E07000193,Total,113583,71.36,64.17,0.25,0.28,0.04,6.0,0.3,0.32,22.04,6.6
2011,Lichfield,E07000194,Total,100654,70.68,68.83,0.19,0.3,0.07,0.45,0.54,0.31,22.96,6.36
2011,Newcastle-under-Lyme,E07000195,Total,123871,68.15,65.68,0.37,0.42,0.06,1.12,0.17,0.33,25.13,6.73
2011,South Staffordshire,E07000196,Total,108131,75.47,73.34,0.17,0.38,0.01,0.34,0.95,0.27,18.4,6.13
2011,Stafford,E07000197,Total,130869,70.56,67.85,0.35,0.65,0.05,0.88,0.38,0.41,22.82,6.61
2011,Staffordshire Moorlands,E07000198,Total,97106,73.64,72.82,0.15,0.07,0.02,0.2,0.05,0.33,19.58,6.77
2011,Tamworth,E07000199,Total,76813,64.55,63.31,0.17,0.22,0.01,0.31,0.2,0.34,29.34,6.1
2011,North Warwickshire,E07000218,Total,62014,71.64,70.29,0.15,0.24,0.02,0.18,0.39,0.37,21.91,6.45
2011,Nuneaton and Bedworth,E07000219,Total,125252,69.9,63.57,0.34,1.1,0.01,2.31,2.19,0.38,24.05,6.05
2011,Rugby,E07000220,Total,100075,68.89,63.74,0.37,2.29,0.06,1.24,0.84,0.35,24.26,6.85
2011,Stratford-on-Avon,E07000221,Total,120485,71.68,70.3,0.27,0.21,0.12,0.23,0.2,0.35,21.21,7.11
2011,Warwick,E07000222,Total,137648,65.25,58.25,0.38,1.19,0.19,0.94,3.9,0.39,27.5,7.25
2011,Birmingham,E08000025,Total,1073045,74.19,46.07,0.45,2.08,0.21,21.85,3.02,0.53,19.27,6.53
2011,Coventry,E08000026,Total,316960,70.59,53.66,0.34,3.52,0.07,7.47,5.02,0.52,23.0,6.41
2011,Dudley,E08000027,Total,312925,71.77,65.29,0.21,0.61,0.02,4.12,1.18,0.33,22.0,6.23
2011,Sandwell,E08000028,Total,308063,75.18,55.21,0.21,2.21,0.02,8.2,8.74,0.59,18.74,6.08
2011,Solihull,E08000029,Total,206674,72.27,65.6,0.21,1.78,0.17,2.54,1.7,0.28,21.38,6.35
2011,Walsall,E08000030,Total,269323,73.99,59.03,0.19,1.69,0.02,8.22,4.31,0.53,20.0,6.01
2011,Wolverhampton,E08000031,Total,249470,73.59,55.48,0.41,3.72,0.04,3.63,9.09,1.23,19.97,6.43
2011,Bromsgrove,E07000234,Total,93637,71.03,68.89,0.2,0.34,0.1,0.54,0.65,0.3,22.05,6.93
2011,Malvern Hills,E07000235,Total,74631,68.89,67.53,0.25,0.15,0.08,0.26,0.1,0.51,23.86,7.26
2011,Redditch,E07000236,Total,84214,67.96,63.45,0.18,0.24,0.06,3.41,0.27,0.34,25.78,6.26
2011,Worcester,E07000237,Total,98768,67.66,63.7,0.31,0.25,0.03,2.88,0.14,0.35,25.74,6.6
2011,Wychavon,E07000238,Total,116944,72.86,71.6,0.2,0.12,0.07,0.32,0.19,0.37,20.25,6.89
2011,Wyre Forest,E07000239,Total,97975,70.19,68.65,0.2,0.11,0.04,0.7,0.14,0.35,23.07,6.75
2011,Bedford,E06000055,Total,157479,69.79,59.28,0.32,1.54,0.11,5.47,2.12,0.96,23.64,6.57
2011,Central Bedfordshire,E06000056,Total,254381,64.76,62.2,0.31,0.66,0.2,0.76,0.29,0.35,28.44,6.79
2011,Luton,E06000032,Total,203201,77.38,47.38,0.32,3.32,0.16,24.6,1.16,0.44,16.53,6.09
2011,Peterborough,E06000031,Total,183631,68.7,56.75,0.25,1.26,0.08,9.39,0.64,0.32,24.61,6.69
2011,Southend-on-Sea,E06000033,Total,173658,60.6,55.72,0.46,0.67,1.24,1.91,0.09,0.52,31.6,7.8
2011,Thurrock,E06000034,Total,157705,67.69,63.34,0.39,0.75,0.14,2.01,0.78,0.29,26.04,6.27
2011,Cambridge,E07000008,Total,123867,53.14,44.82,1.27,1.66,0.7,3.95,0.17,0.57,37.81,9.04
2011,East Cambridgeshire,E07000009,Total,83818,63.97,62.33,0.34,0.18,0.15,0.44,0.14,0.4,28.11,7.91
2011,Fenland,E07000010,Total,95262,67.79,66.39,0.19,0.2,0.11,0.41,0.12,0.36,25.03,7.18
2011,Huntingdonshire,E07000011,Total,169508,63.25,60.81,0.31,0.37,0.11,1.1,0.16,0.4,29.51,7.24
2011,South Cambridgeshire,E07000012,Total,148755,61.76,58.8,0.47,0.75,0.24,0.98,0.13,0.38,30.08,8.17
2011,Basildon,E07000066,Total,174497,62.87,60.26,0.3,0.71,0.24,0.93,0.08,0.33,30.33,6.81
2011,Braintree,E07000067,Total,147084,62.87,61.27,0.24,0.3,0.14,0.47,0.06,0.4,29.99,7.14
2011,Brentwood,E07000068,Total,73601,71.78,68.62,0.41,1.05,0.37,0.88,0.15,0.3,21.14,7.09
2011,Castle Point,E07000069,Total,88011,65.63,64.05,0.24,0.31,0.21,0.43,0.04,0.35,27.23,7.14
2011,Chelmsford,E07000070,Total,168310,64.82,61.94,0.33,0.72,0.2,1.2,0.1,0.34,28.16,7.02
2011,Colchester,E07000071,Total,173074,61.32,57.71,0.57,0.74,0.15,1.6,0.11,0.46,31.41,7.27
2011,Epping Forest,E07000072,Total,124659,69.99,61.81,0.33,1.4,3.19,1.91,1.01,0.35,22.51,7.5
2011,Harlow,E07000073,Total,81944,59.47,55.36,0.41,0.77,0.29,2.13,0.1,0.41,33.91,6.62
2011,Maldon,E07000074,Total,61629,66.13,64.98,0.25,0.1,0.16,0.28,0.05,0.32,26.55,7.32
