"date","geography","geography code","Rural Urban","Religion: All categories: Religion; measures: Value","Religion: Has religion; measures: Value","Religion: Christian; measures: Value","Religion: Buddhist; measures: Value","Religion: Hindu; measures: Value","Religion: Jewish; measures: Value","Religion: Muslim; measures: Value","Religion: Sikh; measures: Value","Religion: Other religion; measures: Value","Religion: No religion; measures: Value","Religion: Religion not stated; measures: Value"
"2011","Tandridge","E07000215","Total",82998,55799,53841,295,612,132,596,60,263,20976,6223
"2011","Waverley","E07000216","Total",121572,81581,79220,432,321,228,786,69,525,30745,9246
"2011","Woking","E07000217","Total",99198,68999,58345,676,1952,214,7323,151,338,22931,7268
"2011","Adur","E07000223","Total",61182,37386,35829,211,138,221,611,30,346,19162,4634
"2011","Arun","E07000224","Total",149518,100132,97618,425,306,243,806,45,689,37829,11557
"2011","Chichester","E07000225","Total",113794,77145,75248,492,276,163,419,31,516,27947,8702
"2011","Crawley","E07000226","Total",106597,72031,57782,401,4892,98,7681,729,448,27756,6810
"2011","Horsham","E07000227","Total",131301,85587,83316,420,355,199,673,92,532,35355,10359
"2011","Mid Sussex","E07000228","Total",139860,91545,87757,508,855,283,1130,88,924,37218,11097
"2011","Worthing","E07000229","Total",104640,64326,60817,600,546,227,1348,122,666,31577,8737
"2011","Bath and North East Somerset","E06000022","Total",176016,103452,99468,941,535,254,1179,140,935,57626,14938
"2011","Bournemouth","E06000028","Total",183491,113314,104828,1215,1292,1343,3264,156,1216,55911,14266
"2011","Bristol, City of","E06000023","Total",428234,233234,200254,2549,2712,777,22016,2133,2793,160218,34782
"2011","Cornwall","E06000052","Total",532273,325597,318357,1726,556,389,855,105,3609,161320,45356
"2011","Isles of Scilly","E06000053","Total",2203,1247,1218,9,1,4,3,0,12,742,214
"2011","North Somerset","E06000024","Total",202566,126499,123545,554,340,157,869,95,939,60867,15200
"2011","Plymouth","E06000026","Total",256384,153898,148917,881,567,168,2078,89,1198,84295,18191
"2011","Poole","E06000029","Total",147645,92527,89243,538,511,404,1035,79,717,43922,11196
"2011","South Gloucestershire","E06000025","Total",262767,162725,156504,708,1681,145,2176,623,888,80607,19435
"2011","Swindon","E06000030","Total",209156,130071,120287,1209,2597,151,3538,1228,1061,64780,14305
"2011","Torbay","E06000027","Total",130959,84814,82924,389,128,109,521,41,702,36035,10110
"2011","Wiltshire","E06000054","Total",470981,309758,301651,1621,1308,384,2074,303,2417,125045,36178
"2011","East Devon","E07000040","Total",132457,88381,86934,351,55,142,229,13,657,33280,10796
"2011","Exeter","E07000041","Total",117773,67382,63486,683,372,155,1855,160,671,40862,9529
"2011","Mid Devon","E07000042","Total",77750,49122,48273,224,96,46,112,5,366,22122,6506
"2011","North Devon","E07000043","Total",93667,58673,57426,283,101,52,281,57,473,26983,8011
"2011","South Hams","E07000044","Total",83140,52654,51181,468,56,109,201,5,634,23068,7418
"2011","Teignbridge","E07000045","Total",124220,78841,77289,414,74,95,231,11,727,34939,10440
"2011","Torridge","E07000046","Total",63839,40845,40110,151,30,37,92,5,420,17537,5457
"2011","West Devon","E07000047","Total",53553,34724,34079,152,34,49,90,7,313,14254,4575
"2011","Christchurch","E07000048","Total",47752,32776,32057,157,51,96,146,5,264,11291,3685
"2011","East Dorset","E07000049","Total",87166,59381,58251,156,103,148,352,12,359,21103,6682
"2011","North Dorset","E07000050","Total",68583,46743,45631,262,221,92,186,10,341,16323,5517
"2011","Purbeck","E07000051","Total",44973,29679,29239,111,5,36,69,2,217,11642,3652
"2011","West Dorset","E07000052","Total",99264,66198,64793,334,121,86,257,13,594,24783,8283
"2011","Weymouth and Portland","E07000053","Total",65167,40945,39766,260,49,61,308,46,455,19079,5143
"2011","Cheltenham","E07000078","Total",115732,71306,67955,505,938,160,1087,147,514,35593,8833
"2011","Cotswold","E07000079","Total",82881,57862,56923,217,114,123,164,7,314,18979,6040
"2011","Forest of Dean","E07000080","Total",81961,54807,53912,200,57,46,94,57,441,20646,6508
"2011","Gloucester","E07000081","Total",121688,81488,75881,311,728,50,3885,134,499,31851,8349
"2011","Stroud","E07000082","Total",112779,71682,69921,366,122,107,238,40,888,31968,9129
"2011","Tewkesbury","E07000083","Total",81943,55662,54552,173,263,53,273,64,284,20459,5822
"2011","Mendip","E07000187","Total",109279,69895,67683,510,113,81,270,14,1224,29913,9471
"2011","Sedgemoor","E07000188","Total",114588,75410,74069,256,74,45,341,48,577,30399,8779
"2011","South Somerset","E07000189","Total",161243,108211,106336,376,135,124,417,15,808,40637,12395
"2011","Taunton Deane","E07000190","Total",110187,69994,68419,357,179,69,399,14,557,31436,8757
"2011","West Somerset","E07000191","Total",34675,23087,22704,113,5,18,43,9,195,8686,2902
"2011","Isle of Anglesey","W06000001","Total",69751,46200,45400,165,45,40,250,43,257,17797,5754
"2011","Gwynedd","W06000002","Total",121874,75276,72503,426,238,55,1378,39,637,36163,10435
"2011","Conwy","W06000003","Total",115228,76199,74506,347,206,62,583,17,478,30017,9012
"2011","Denbighshire","W06000004","Total",93734,61416,60129,266,167,32,469,8,345,25132,7186
"2011","Flintshire","W06000005","Total",152506,102743,101298,344,158,70,482,29,362,38726,11037
"2011","Wrexham","W06000006","Total",134844,87746,85576,351,504,58,860,87,310,36927,10171
"2011","Powys","W06000023","Total",132976,84173,82120,567,324,80,235,49,798,37050,11753
"2011","Ceredigion","W06000008","Total",75922,45890,43981,355,197,64,521,30,742,23329,6703
"2011","Pembrokeshire","W06000009","Total",122439,78973,77162,422,230,50,425,36,648,33442,10024
"2011","Carmarthenshire","W06000010","Total",183777,116082,113534,420,351,82,625,125,945,53036,14659
"2011","Swansea","W06000011","Total",239023,139981,131451,856,780,159,5415,278,1042,81219,17823
"2011","Neath Port Talbot","W06000012","Total",139812,82360,80646,312,144,39,573,113,533,47265,10187
"2011","Bridgend","W06000013","Total",139178,78355,76625,357,270,33,529,46,495,51062,9761
"2011","Vale of Glamorgan","W06000014","Total",126336,75487,73384,356,269,90,785,75,528,41556,9293
"2011","Cardiff","W06000015","Total",346090,211350,177743,1690,4736,802,23656,1317,1406,109960,24780
"2011","Rhondda Cynon Taff","W06000016","Total",234410,121508,118388,518,401,87,1061,183,870,95549,17353
"2011","Merthyr Tydfil","W06000024","Total",58802,33626,32948,124,80,4,197,52,221,21048,4128
"2011","Caerphilly","W06000018","Total",178806,92398,90669,278,174,69,391,152,665,73084,13324
"2011","Blaenau Gwent","W06000019","Total",69814,35468,34805,112,72,8,179,39,253,28676,5670
"2011","Torfaen","W06000020","Total",91075,51561,50472,222,241,16,238,56,316,32605,6909
"2011","Monmouthshire","W06000021","Total",91323,58274,57101,269,162,65,239,47,391,26018,7031
"2011","Newport","W06000022","Total",145736,91465,82858,360,685,99,6859,141,463,43336,10935
