"date","geography","geography code","Rural Urban","Religion: All categories: Religion; measures: Value","Religion: Has religion; measures: Value","Religion: Christian; measures: Value","Religion: Buddhist; measures: Value","Religion: Hindu; measures: Value","Religion: Jewish; measures: Value","Religion: Muslim; measures: Value","Religion: Sikh; measures: Value","Religion: Other religion; measures: Value","Religion: No religion; measures: Value","Religion: Religion not stated; measures: Value"
"2011","Doncaster","E08000017","Total",302402,208025,199320,683,881,79,4990,1140,932,73656,20721
"2011","Rotherham","E08000018","Total",257280,182467,171068,401,433,63,9614,293,595,57783,17030
"2011","Sheffield","E08000019","Total",552698,342598,290299,2282,3566,747,42801,942,1961,172516,37584
"2011","Bradford","E08000032","Total",522452,381876,239843,1000,4882,299,129041,5125,1686,108027,32549
"2011","Calderdale","E08000033","Total",203826,131994,114667,593,616,153,14802,355,808,57193,14639
"2011","Kirklees","E08000034","Total",422458,294239,225751,845,1544,189,61280,3330,1300,100829,27390
"2011","Leeds","E08000035","Total",751485,488539,419790,2772,7048,6847,40772,8914,2396,212229,50717
"2011","Wakefield","E08000036","Total",325837,225583,216215,573,831,117,6475,399,973,79497,20757
"2011","Derby","E06000015","Total",248752,163141,131129,822,2198,110,19006,8891,985,68668,16943
"2011","Leicester","E06000016","Total",329839,236214,106872,1224,50087,295,61440,14457,1839,75280,18345
"2011","Nottingham","E06000018","Total",305680,175548,135216,2051,4498,1069,26919,4312,1483,106954,23178
"2011","Rutland","E06000017","Total",37369,26021,25481,100,75,54,131,31,149,8728,2620
"2011","Amber Valley","E07000032","Total",122309,76264,74834,253,155,79,188,172,583,37085,8960
"2011","Bolsover","E07000033","Total",75866,50183,49447,115,81,29,146,104,261,20507,5176
"2011","Chesterfield","E07000034","Total",103788,67908,66175,213,257,31,699,158,375,28238,7642
"2011","Derbyshire Dales","E07000035","Total",71116,49545,48869,164,39,56,142,34,241,16477,5094
"2011","Erewash","E07000036","Total",112081,66405,64784,213,412,42,258,284,412,37995,7681
"2011","High Peak","E07000037","Total",90892,59272,58264,296,77,35,178,33,389,25057,6563
"2011","North East Derbyshire","E07000038","Total",99023,67736,66773,115,92,48,268,131,309,24465,6822
"2011","South Derbyshire","E07000039","Total",94611,63056,60522,161,264,43,331,1400,335,25334,6221
"2011","Blaby","E07000129","Total",93915,60296,54594,177,2550,61,728,1849,337,27367,6252
"2011","Charnwood","E07000130","Total",166100,107047,92233,559,8344,125,3925,1241,620,48525,10528
"2011","Harborough","E07000131","Total",85382,58522,55899,171,1088,112,423,630,199,20995,5865
"2011","Hinckley and Bosworth","E07000132","Total",105078,70016,67559,215,871,46,517,427,381,28247,6815
"2011","Melton","E07000133","Total",50376,34829,34239,110,211,11,41,46,171,12269,3278
"2011","North West Leicestershire","E07000134","Total",93468,61914,60641,182,332,37,206,121,395,25713,5841
"2011","Oadby and Wigston","E07000135","Total",56170,39776,27198,132,5112,136,3256,3664,278,13007,3387
"2011","Boston","E07000136","Total",64637,46966,45941,126,191,30,434,47,197,13143,4528
"2011","East Lindsey","E07000137","Total",136401,95107,93691,226,126,84,366,49,565,31196,10098
